water_year,apr1_swe_mm,fall_sm_oct_nov_avg_mm,spring_precip_apr_jul_mm,total_streamflow_mm,key_streamflow_apr_jul_mm,inflow_MAF
1985,116.1516724,332.3652539,100.0494276,98.15490104,67.48436064,13
1986,99.58798218,305.3959811,111.0895368,102.0944006,68.9472082,9.02
1987,87.04354858,330.7767584,80.53997424,78.7484029,49.51740722,7.02
1988,78.2559433,273.9613022,95.61828655,58.01896119,34.53623214,6.4
1989,80.07312012,228.0585307,45.9958079,49.58050848,30.58094883,10.22
1990,59.97840118,210.2259977,87.95663667,43.93660339,26.59005587,5.22
1991,80.40746307,229.4676919,88.19746582,56.20334897,36.26584448,10.05
1992,85.60416412,228.8683437,103.0220836,53.37376771,35.02292399,14
1993,131.3342133,223.1473289,101.7001849,78.94400837,56.0941921,15.82
1994,64.00922394,275.3259495,82.49607647,57.20272912,35.20785924,12.02
1995,101.5340118,238.8786213,172.0549775,91.2212956,64.33033593,8
1996,97.24204254,274.9613512,79.69226517,74.04744059,49.95338435,11.52
1997,107.7039032,247.3692147,130.2396776,91.48733486,61.28152385,17
1998,85.81096649,316.7384453,93.33916413,79.54023007,51.30921776,12.52
1999,61.25838089,295.6889829,144.9119352,80.37787111,50.62453903,8.05
2000,81.89228821,262.3268055,63.69409244,56.20797031,34.5309139,5.8
2001,80.46894073,230.8631972,76.68521254,51.82477535,33.15920348,5.2
2002,56.82217789,203.2728211,31.27136425,30.99610732,16.17920392,3.52
2003,77.55864716,204.2750149,73.87747751,43.17577909,27.67838946,6.02
2004,55.20241928,199.8587101,92.7237088,45.30385125,28.35836269,7.02
2005,115.4555206,235.7984487,108.6117231,72.6193911,51.22225293,7.52
2006,91.05404663,256.3061471,46.7903599,58.32892367,37.03507503,11.82
2007,54.33142471,273.4670518,71.47755612,57.80765862,33.8274045,8.22
2008,120.3229752,230.4089375,77.52884479,66.40884414,46.40759299,9.82
2009,76.94689941,225.4137676,134.0855525,63.10083536,43.62715682,10
2010,85.56718445,222.5952786,94.75880382,55.01730473,35.50620277,15.5
2011,115.6504288,240.8279799,123.0087284,83.04946113,61.23410495,15.82
2012,39.88171005,270.0103107,29.6580309,45.96321562,23.69222835,9.6
2013,57.33932877,191.3639792,67.78893967,38.43213862,20.62949244,10
2014,88.03704834,251.487366,68.04915044,57.94937968,37.74774708,11.02
2015,43.62904739,250.9175017,147.5671249,55.12640731,34.69940784,10.52
2016,81.19670868,240.8918475,107.885619,55.54373512,35.91652387,10.82
2017,81.56970215,233.6584625,66.13747834,65.51931243,42.15467338,12.02
2018,46.22443771,232.5064377,60.64214716,37.35329446,20.94104255,8
2019,122.188858,197.775654,123.6327121,60.42073312,42.74843888,11.82
2020,93.0397644,208.398913,56.55916179,43.37144449,27.77716229,10
2021,66.57033539,174.4299969,52.65742247,32.09730661,17.95567228,3.5
2022,67.11196899,208.0778398,69.64096509,40.64686451,25.02791352,6.1
2023,172.4019318,213.9553545,76.87166923,63.9243072,46.9339778,8
2024,85.53929901,231.3831762,82.86756033,50.75314172,31.54337909,9.8